Date,Date,Open,High,Low,Close,Volume,volume30,v_ratio
1950-01-03,1950-01-03,16.65999984741211,16.65999984741211,16.65999984741211,16.65999984741211,1260000,,
1950-01-04,1950-01-04,16.850000381469727,16.850000381469727,16.850000381469727,16.850000381469727,1890000,,
1950-01-05,1950-01-05,16.93000030517578,16.93000030517578,16.93000030517578,16.93000030517578,2550000,,
1950-01-06,1950-01-06,16.979999542236328,16.979999542236328,16.979999542236328,16.979999542236328,2010000,,
1950-01-09,1950-01-09,17.079999923706055,17.079999923706055,17.079999923706055,17.079999923706055,2520000,,
1950-01-10,1950-01-10,17.030000686645508,17.030000686645508,17.030000686645508,17.030000686645508,2160000,,
1950-01-11,1950-01-11,17.09000015258789,17.09000015258789,17.09000015258789,17.09000015258789,2630000,,
1950-01-12,1950-01-12,16.760000228881836,16.760000228881836,16.760000228881836,16.760000228881836,2970000,,
1950-01-13,1950-01-13,16.670000076293945,16.670000076293945,16.670000076293945,16.670000076293945,3330000,,
1950-01-16,1950-01-16,16.719999313354492,16.719999313354492,16.719999313354492,16.719999313354492,1460000,,
1950-01-17,1950-01-17,16.860000610351562,16.860000610351562,16.860000610351562,16.860000610351562,1790000,,
1950-01-18,1950-01-18,16.850000381469727,16.850000381469727,16.850000381469727,16.850000381469727,1570000,,
1950-01-19,1950-01-19,16.8700008392334,16.8700008392334,16.8700008392334,16.8700008392334,1170000,,
1950-01-20,1950-01-20,16.899999618530273,16.899999618530273,16.899999618530273,16.899999618530273,1440000,,
1950-01-23,1950-01-23,16.920000076293945,16.920000076293945,16.920000076293945,16.920000076293945,1340000,,
1950-01-24,1950-01-24,16.860000610351562,16.860000610351562,16.860000610351562,16.860000610351562,1250000,,
1950-01-25,1950-01-25,16.739999771118164,16.739999771118164,16.739999771118164,16.739999771118164,1700000,,
1950-01-26,1950-01-26,16.729999542236328,16.729999542236328,16.729999542236328,16.729999542236328,1150000,,
1950-01-27,1950-01-27,16.81999969482422,16.81999969482422,16.81999969482422,16.81999969482422,1250000,,
1950-01-30,1950-01-30,17.020000457763672,17.020000457763672,17.020000457763672,17.020000457763672,1640000,,
1950-01-31,1950-01-31,17.049999237060547,17.049999237060547,17.049999237060547,17.049999237060547,1690000,,
1950-02-01,1950-02-01,17.049999237060547,17.049999237060547,17.049999237060547,17.049999237060547,1810000,,
1950-02-02,1950-02-02,17.229999542236328,17.229999542236328,17.229999542236328,17.229999542236328,2040000,,
1950-02-03,1950-02-03,17.290000915527344,17.290000915527344,17.290000915527344,17.290000915527344,2210000,,
1950-02-06,1950-02-06,17.31999969482422,17.31999969482422,17.31999969482422,17.31999969482422,1490000,,
1950-02-07,1950-02-07,17.229999542236328,17.229999542236328,17.229999542236328,17.229999542236328,1360000,,
1950-02-08,1950-02-08,17.209999084472656,17.209999084472656,17.209999084472656,17.209999084472656,1470000,,
1950-02-09,1950-02-09,17.280000686645508,17.280000686645508,17.280000686645508,17.280000686645508,1810000,,
1950-02-10,1950-02-10,17.239999771118164,17.239999771118164,17.239999771118164,17.239999771118164,1790000,,
1950-02-14,1950-02-14,17.059999465942383,17.059999465942383,17.059999465942383,17.059999465942383,2210000,1832000.0,1.2063318777292575
1950-02-15,1950-02-15,17.059999465942383,17.059999465942383,17.059999465942383,17.059999465942383,1730000,1847666.6666666667,0.9363160743279813
1950-02-16,1950-02-16,16.989999771118164,16.989999771118164,16.989999771118164,16.989999771118164,1920000,1848666.6666666667,1.0385863685539127
1950-02-17,1950-02-17,17.149999618530273,17.149999618530273,17.149999618530273,17.149999618530273,1940000,1828333.3333333333,1.0610756608933456
1950-02-20,1950-02-20,17.200000762939453,17.200000762939453,17.200000762939453,17.200000762939453,1420000,1808666.6666666667,0.7851087357169185
1950-02-21,1950-02-21,17.170000076293945,17.170000076293945,17.170000076293945,17.170000076293945,1260000,1766666.6666666667,0.7132075471698113
1950-02-23,1950-02-23,17.209999084472656,17.209999084472656,17.209999084472656,17.209999084472656,1310000,1738333.3333333333,0.7535953978907
1950-02-24,1950-02-24,17.280000686645508,17.280000686645508,17.280000686645508,17.280000686645508,1710000,1707666.6666666667,1.0013663868826859
1950-02-27,1950-02-27,17.280000686645508,17.280000686645508,17.280000686645508,17.280000686645508,1410000,1655666.6666666667,0.8516206965975438
1950-02-28,1950-02-28,17.219999313354492,17.219999313354492,17.219999313354492,17.219999313354492,1310000,1588333.3333333333,0.8247639034627493
1950-03-01,1950-03-01,17.239999771118164,17.239999771118164,17.239999771118164,17.239999771118164,1410000,1586666.6666666667,0.8886554621848739
1950-03-02,1950-03-02,17.229999542236328,17.229999542236328,17.229999542236328,17.229999542236328,1340000,1571666.6666666667,0.8525980911983032
1950-03-03,1950-03-03,17.290000915527344,17.290000915527344,17.290000915527344,17.290000915527344,1520000,1570000.0,0.9681528662420382
1950-03-06,1950-03-06,17.31999969482422,17.31999969482422,17.31999969482422,17.31999969482422,1470000,1580000.0,0.930379746835443
1950-03-07,1950-03-07,17.200000762939453,17.200000762939453,17.200000762939453,17.200000762939453,1590000,1585000.0,1.003154574132492
1950-03-08,1950-03-08,17.190000534057617,17.190000534057617,17.190000534057617,17.190000534057617,1360000,1585666.6666666667,0.8576834139163337
1950-03-09,1950-03-09,17.06999969482422,17.06999969482422,17.06999969482422,17.06999969482422,1330000,1588333.3333333333,0.8373557187827912
1950-03-10,1950-03-10,17.09000015258789,17.09000015258789,17.09000015258789,17.09000015258789,1260000,1573666.6666666667,0.800677822495234
1950-03-13,1950-03-13,17.1200008392334,17.1200008392334,17.1200008392334,17.1200008392334,1060000,1570666.6666666667,0.6748726655348047
1950-03-14,1950-03-14,17.25,17.25,17.25,17.25,1140000,1567000.0,0.7275047862156988
1950-03-15,1950-03-15,17.450000762939453,17.450000762939453,17.450000762939453,17.450000762939453,1830000,1573333.3333333333,1.163135593220339
1950-03-16,1950-03-16,17.489999771118164,17.489999771118164,17.489999771118164,17.489999771118164,2060000,1585666.6666666667,1.2991381122556231
1950-03-17,1950-03-17,17.450000762939453,17.450000762939453,17.450000762939453,17.450000762939453,1600000,1578666.6666666667,1.0135135135135134
1950-03-20,1950-03-20,17.440000534057617,17.440000534057617,17.440000534057617,17.440000534057617,1430000,1558333.3333333333,0.9176470588235295
1950-03-21,1950-03-21,17.450000762939453,17.450000762939453,17.450000762939453,17.450000762939453,1400000,1531333.3333333333,0.914235959947758
1950-03-22,1950-03-22,17.549999237060547,17.549999237060547,17.549999237060547,17.549999237060547,2010000,1548666.6666666667,1.2978906586310803
1950-03-23,1950-03-23,17.559999465942383,17.559999465942383,17.559999465942383,17.559999465942383,2020000,1570666.6666666667,1.2860780984719864
1950-03-24,1950-03-24,17.559999465942383,17.559999465942383,17.559999465942383,17.559999465942383,1570000,1574000.0,0.9974587039390089
1950-03-27,1950-03-27,17.459999084472656,17.459999084472656,17.459999084472656,17.459999084472656,1930000,1578000.0,1.2230671736375158
1950-03-28,1950-03-28,17.530000686645508,17.530000686645508,17.530000686645508,17.530000686645508,1780000,1577666.6666666667,1.128248468201986
1950-03-29,1950-03-29,17.440000534057617,17.440000534057617,17.440000534057617,17.440000534057617,2090000,1573666.6666666667,1.3281084515992374
1950-03-30,1950-03-30,17.299999237060547,17.299999237060547,17.299999237060547,17.299999237060547,2370000,1595000.0,1.4858934169278997
1950-03-31,1950-03-31,17.290000915527344,17.290000915527344,17.290000915527344,17.290000915527344,1880000,1593666.6666666667,1.1796695252039322
1950-04-03,1950-04-03,17.530000686645508,17.530000686645508,17.530000686645508,17.530000686645508,1570000,1581333.3333333333,0.9928330522765599
1950-04-04,1950-04-04,17.549999237060547,17.549999237060547,17.549999237060547,17.549999237060547,2010000,1601000.0,1.2554653341661461
1950-04-05,1950-04-05,17.6299991607666,17.6299991607666,17.6299991607666,17.6299991607666,1430000,1606666.6666666667,0.8900414937759336
1950-04-06,1950-04-06,17.780000686645508,17.780000686645508,17.780000686645508,17.780000686645508,2000000,1629666.6666666667,1.2272448353446512
1950-04-10,1950-04-10,17.850000381469727,17.850000381469727,17.850000381469727,17.850000381469727,2070000,1641666.6666666667,1.2609137055837563
1950-04-11,1950-04-11,17.75,17.75,17.75,17.75,2010000,1661666.6666666667,1.2096288866599798
1950-04-12,1950-04-12,17.940000534057617,17.940000534057617,17.940000534057617,17.940000534057617,2010000,1685000.0,1.1928783382789319
1950-04-13,1950-04-13,17.979999542236328,17.979999542236328,17.979999542236328,17.979999542236328,2410000,1718333.3333333333,1.402521823472357
1950-04-14,1950-04-14,17.959999084472656,17.959999084472656,17.959999084472656,17.959999084472656,2750000,1765333.3333333333,1.5577794561933536
1950-04-17,1950-04-17,17.8799991607666,17.8799991607666,17.8799991607666,17.8799991607666,2520000,1798666.6666666667,1.4010378057820607
1950-04-18,1950-04-18,18.030000686645508,18.030000686645508,18.030000686645508,18.030000686645508,3320000,1860333.3333333333,1.7846264110374486
1950-04-19,1950-04-19,18.049999237060547,18.049999237060547,18.049999237060547,18.049999237060547,2950000,1905666.6666666667,1.548014693020815
1950-04-20,1950-04-20,17.93000030517578,17.93000030517578,17.93000030517578,17.93000030517578,2590000,1946666.6666666667,1.3304794520547945
1950-04-21,1950-04-21,17.959999084472656,17.959999084472656,17.959999084472656,17.959999084472656,2710000,1992666.6666666667,1.3599866175978588
1950-04-24,1950-04-24,17.829999923706055,17.829999923706055,17.829999923706055,17.829999923706055,2310000,2027666.6666666667,1.1392405063291138
1950-04-25,1950-04-25,17.829999923706055,17.829999923706055,17.829999923706055,17.829999923706055,1830000,2053333.3333333333,0.8912337662337663
1950-04-26,1950-04-26,17.760000228881836,17.760000228881836,17.760000228881836,17.760000228881836,1880000,2078000.0,0.904716073147257
1950-04-27,1950-04-27,17.860000610351562,17.860000610351562,17.860000610351562,17.860000610351562,2070000,2086000.0,0.9923298178331735
